Time	Node	Type	Packets	
5	84	CacheMisses	237
5	85	CacheHits	591
5	85	CacheMisses	238
5	86	CacheHits	252
5	86	CacheMisses	236
5	87	CacheHits	419
5	87	CacheMisses	238
5	88	CacheHits	561
5	88	CacheMisses	238
5	89	CacheHits	296
5	89	CacheMisses	238
5	90	CacheHits	259
5	90	CacheMisses	236
5	91	CacheHits	361
5	91	CacheMisses	238
5	92	CacheHits	338
5	92	CacheMisses	238
5	93	CacheHits	308
5	93	CacheMisses	238
5	94	CacheHits	261
5	94	CacheMisses	238
5	95	CacheHits	289
5	95	CacheMisses	235
5	96	CacheHits	272
5	96	CacheMisses	237
5	97	CacheHits	782
5	97	CacheMisses	238
5	98	CacheHits	454
5	98	CacheMisses	238
5	99	CacheHits	526
5	99	CacheMisses	238
6	50	CacheHits	342
6	50	CacheMisses	262
6	51	CacheHits	308
6	51	CacheMisses	262
6	52	CacheHits	368
6	52	CacheMisses	261
6	53	CacheHits	396
6	53	CacheMisses	261
6	54	CacheHits	347
6	54	CacheMisses	260
6	55	CacheHits	287
6	55	CacheMisses	261
6	56	CacheHits	294
6	56	CacheMisses	262
6	57	CacheHits	139
6	57	CacheMisses	263
6	58	CacheHits	237
6	58	CacheMisses	262
6	59	CacheHits	117
6	59	CacheMisses	262
6	60	CacheHits	262
6	60	CacheMisses	260
6	61	CacheHits	384
6	61	CacheMisses	261
6	62	CacheHits	483
6	62	CacheMisses	261
6	63	CacheHits	376
6	63	CacheMisses	262
6	64	CacheHits	541
6	64	CacheMisses	261
6	65	CacheHits	529
6	65	CacheMisses	263
6	66	CacheHits	308
6	66	CacheMisses	261
6	67	CacheHits	262
6	67	CacheMisses	261
6	68	CacheHits	357
6	68	CacheMisses	260
6	69	CacheHits	309
6	69	CacheMisses	262
6	70	CacheHits	410
6	70	CacheMisses	263
6	71	CacheHits	286
6	71	CacheMisses	263
6	72	CacheHits	398
6	72	CacheMisses	262
6	73	CacheHits	464
6	73	CacheMisses	262
6	74	CacheHits	354
6	74	CacheMisses	262
6	75	CacheHits	112
6	75	CacheMisses	263
6	76	CacheHits	154
6	76	CacheMisses	263
6	77	CacheHits	264
6	77	CacheMisses	262
6	78	CacheHits	253
6	78	CacheMisses	261
6	79	CacheHits	233
6	79	CacheMisses	262
6	80	CacheHits	539
6	80	CacheMisses	261
6	81	CacheHits	153
6	81	CacheMisses	259
6	82	CacheHits	529
6	82	CacheMisses	260
6	83	CacheHits	556
6	83	CacheMisses	262
6	84	CacheHits	364
6	84	CacheMisses	262
6	85	CacheHits	577
6	85	CacheMisses	262
6	86	CacheHits	178
6	86	CacheMisses	264
6	87	CacheHits	410
6	87	CacheMisses	262
6	88	CacheHits	576
6	88	CacheMisses	262
6	89	CacheHits	315
6	89	CacheMisses	265
6	90	CacheHits	213
6	90	CacheMisses	262
6	91	CacheHits	316
6	91	CacheMisses	260
6	92	CacheHits	316
6	92	CacheMisses	261
6	93	CacheHits	238
6	93	CacheMisses	261
6	94	CacheHits	218
6	94	CacheMisses	261
6	95	CacheHits	270
6	95	CacheMisses	263
6	96	CacheHits	238
6	96	CacheMisses	261
6	97	CacheHits	764
6	97	CacheMisses	262
6	98	CacheHits	478
6	98	CacheMisses	263
6	99	CacheHits	524
6	99	CacheMisses	263
7	50	CacheHits	336
7	50	CacheMisses	273
7	51	CacheHits	351
7	51	CacheMisses	274
7	52	CacheHits	350
7	52	CacheMisses	274
7	53	CacheHits	386
7	53	CacheMisses	274
7	54	CacheHits	314
7	54	CacheMisses	273
7	55	CacheHits	274
7	55	CacheMisses	274
7	56	CacheHits	193
7	56	CacheMisses	271
7	57	CacheHits	123
7	57	CacheMisses	274
7	58	CacheHits	235
7	58	CacheMisses	272
7	59	CacheHits	71
7	59	CacheMisses	276
7	60	CacheHits	250
7	60	CacheMisses	274
7	61	CacheHits	361
7	61	CacheMisses	270
7	62	CacheHits	377
7	62	CacheMisses	271
7	63	CacheHits	383
7	63	CacheMisses	271
7	64	CacheHits	501
7	64	CacheMisses	272
7	65	CacheHits	457
7	65	CacheMisses	273
7	66	CacheHits	318
7	66	CacheMisses	273
7	67	CacheHits	257
7	67	CacheMisses	275
7	68	CacheHits	363
7	68	CacheMisses	273
7	69	CacheHits	294
7	69	CacheMisses	273
7	70	CacheHits	352
7	70	CacheMisses	273
7	71	CacheHits	215
7	71	CacheMisses	271
7	72	CacheHits	370
7	72	CacheMisses	273
7	73	CacheHits	381
7	73	CacheMisses	273
7	74	CacheHits	268
7	74	CacheMisses	279
7	75	CacheHits	102
7	75	CacheMisses	274
7	76	CacheHits	122
7	76	CacheMisses	272
7	77	CacheHits	218
7	77	CacheMisses	275
7	78	CacheHits	271
7	78	CacheMisses	274
7	79	CacheHits	215
7	79	CacheMisses	275
7	80	CacheHits	486
7	80	CacheMisses	268
7	81	CacheHits	111
7	81	CacheMisses	276
7	82	CacheHits	471
7	82	CacheMisses	273
7	83	CacheHits	478
7	83	CacheMisses	270
7	84	CacheHits	326
7	84	CacheMisses	275
7	85	CacheHits	530
7	85	CacheMisses	274
7	86	CacheHits	182
7	86	CacheMisses	271
7	87	CacheHits	328
7	87	CacheMisses	272
7	88	CacheHits	511
7	88	CacheMisses	269
7	89	CacheHits	278
7	89	CacheMisses	271
7	90	CacheHits	195
7	90	CacheMisses	269
7	91	CacheHits	257
7	91	CacheMisses	274
7	92	CacheHits	249
7	92	CacheMisses	273
7	93	CacheHits	217
7	93	CacheMisses	273
7	94	CacheHits	197
7	94	CacheMisses	276
7	95	CacheHits	225
7	95	CacheMisses	274
7	96	CacheHits	228
7	96	CacheMisses	277
7	97	CacheHits	685
7	97	CacheMisses	270
7	98	CacheHits	367
7	98	CacheMisses	270
7	99	CacheHits	475
7	99	CacheMisses	271
8	50	CacheHits	362
8	50	CacheMisses	266
8	51	CacheHits	325
8	51	CacheMisses	264
8	52	CacheHits	372
8	52	CacheMisses	265
8	53	CacheHits	417
8	53	CacheMisses	265
8	54	CacheHits	325
8	54	CacheMisses	264
8	55	CacheHits	321
8	55	CacheMisses	264
8	56	CacheHits	207
8	56	CacheMisses	265
8	57	CacheHits	138
8	57	CacheMisses	266
8	58	CacheHits	263
8	58	CacheMisses	266
8	59	CacheHits	107
8	59	CacheMisses	264
8	60	CacheHits	246
8	60	CacheMisses	268
8	61	CacheHits	358
8	61	CacheMisses	260
8	62	CacheHits	376
8	62	CacheMisses	262
8	63	CacheHits	398
8	63	CacheMisses	266
8	64	CacheHits	466
8	64	CacheMisses	264
8	65	CacheHits	454
8	65	CacheMisses	263
8	66	CacheHits	277
8	66	CacheMisses	268
8	67	CacheHits	238
8	67	CacheMisses	268
8	68	CacheHits	400
8	68	CacheMisses	264
8	69	CacheHits	270
8	69	CacheMisses	265
8	70	CacheHits	435
8	70	CacheMisses	265
8	71	CacheHits	205
8	71	CacheMisses	268
8	72	CacheHits	395
8	72	CacheMisses	264
8	73	CacheHits	371
8	73	CacheMisses	261
8	74	CacheHits	286
8	74	CacheMisses	260
8	75	CacheHits	159
8	75	CacheMisses	266
8	76	CacheHits	107
8	76	CacheMisses	265
8	77	CacheHits	241
8	77	CacheMisses	266
8	78	CacheHits	259
8	78	CacheMisses	266
8	79	CacheHits	216
8	79	CacheMisses	264
8	80	CacheHits	473
8	80	CacheMisses	261
8	81	CacheHits	118
8	81	CacheMisses	263
8	82	CacheHits	462
8	82	CacheMisses	267
8	83	CacheHits	440
8	83	CacheMisses	263
8	84	CacheHits	312
8	84	CacheMisses	263
8	85	CacheHits	511
8	85	CacheMisses	259
